model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
rung3_recipe,none,0,10857.xml,37.786,53.98,0.7,Failed - Agent deviated from the route,Town12,11,797.8,1849,67.7,0.847
rung3_recipe,none,0,11715.xml,42.0,100,0.42,Completed,Town12,21,183.0,280,87.2,0.036
rung3_recipe,none,0,11755.xml,12.1338,48.15,0.252,Failed - Agent deviated from the route,Town12,11,182.3,268,68.2,0.037
rung3_recipe,none,0,14194.xml,50.0,100,0.5,Completed,Town12,21,207.2,298,75.8,0.152
rung3_recipe,none,0,23901.xml,100.0,100.0,1.0,Completed,Town13,21,360.8,484,177.2,0.021
rung3_recipe,none,0,24071.xml,100.0,100,1.0,Completed,Town13,21,168.9,208,154.4,0.048
rung3_recipe,none,0,24092.xml,100.0,100,1.0,Completed,Town13,20,171.3,252,150.2,0.04
rung3_recipe,none,0,24224.xml,50.0,100,0.5,Completed,Town02,21,167.0,352,132.6,0.028
rung3_recipe,none,0,24258.xml,16.0875,68.75,0.234,Failed - TickRuntime,Town07,14,1187.3,3999,92.5,0.881
rung3_recipe,none,0,24294.xml,100.0,100,1.0,Completed,Town02,19,156.2,354,102.6,0.045
rung3_recipe,none,0,24340.xml,36.0,100,0.36,Completed,Town10HD,21,184.7,340,97.6,0.038
rung3_recipe,none,0,24795.xml,100.0,100,1.0,Completed,Town04,20,169.7,362,141.1,0.028
rung3_recipe,none,0,24841.xml,100.0,100,1.0,Completed,Town01,20,205.0,451,130.4,0.022
rung3_recipe,none,0,25300.xml,100.0,100,1.0,Completed,Town04,19,219.0,504,153.4,0.119
rung3_recipe,none,0,25439.xml,100.0,100,1.0,Completed,Town15,18,167.7,401,130.0,0.075
rung3_recipe,none,0,25845.xml,12.75696,59.06,0.216,Failed - TickRuntime,Town15,13,1224.4,3999,64.5,0.912
rung3_recipe,none,0,25854.xml,8.5345,13.13,0.65,Failed - TickRuntime,Town03,3,1330.9,3999,18.4,0.985
rung3_recipe,none,0,25857.xml,35.37,35.37,1.0,Failed - TickRuntime,Town05,6,1258.6,3999,46.3,0.966
rung3_recipe,none,0,25928.xml,100.0,100,1.0,Completed,Town11,18,167.1,347,100.4,0.084
rung3_recipe,none,0,25951.xml,100.0,100,1.0,Completed,Town04,20,190.3,425,134.6,0.127
rung3_recipe,none,0,25968.xml,23.877,34.11,0.7,Failed - Agent deviated from the route,Town07,8,128.3,257,48.0,0.348
rung3_recipe,none,0,26405.xml,60.0,100,0.6,Completed,Town15,19,175.8,445,158.5,0.038
rung3_recipe,none,0,26406.xml,60.0,100,0.6,Completed,Town04,21,229.4,602,143.7,0.348
rung3_recipe,none,0,26456.xml,7.592,11.68,0.65,Failed - Agent got blocked,Town03,4,454.8,1275,17.1,0.95
rung3_recipe,none,0,26956.xml,32.682,54.47,0.6,Failed - Agent deviated from the route,Town05,11,163.4,333,68.9,0.289
rung3_recipe,none,0,27515.xml,6.03876,44.24,0.1365,Failed - Agent deviated from the route,Town03,12,161.6,341,65.3,0.2
rung3_recipe,none,0,27532.xml,6.811782,67.31,0.1012,Failed - Agent deviated from the route,Town11,17,248.4,697,87.9,0.256
rung3_recipe,none,0,27582.xml,37.086,52.98,0.7,Failed - Agent deviated from the route,Town11,11,140.4,268,63.9,0.213
rung3_recipe,none,0,28035.xml,79.970173,100,0.799702,Completed,Town01,20,173.4,357,122.7,0.028
rung3_recipe,none,0,28154.xml,100.0,100,1.0,Completed,Town10HD,20,289.5,639,153.5,0.229
rung3_recipe,lidar,1.0,10857.xml,32.89,32.89,1.0,Failed - TickRuntime,Town12,6,1989.2,3999,25.3,0.969
rung3_recipe,lidar,1.0,11715.xml,,,,NoResult,,,2700.1,1000,53.7,0.788
