model,modality,severity,route,driving_score,route_completion,infraction_penalty,status,town,num_infractions,seconds,ticks,distance_m,stationary_frac
diverse,none,0,10857.xml,53.98,53.98,1.0,Failed - Agent deviated from the route,Town12,10,213.1,276,67.7,0.113
diverse,none,0,11715.xml,22.3146,53.13,0.42,Failed - Agent deviated from the route,Town12,12,102.3,184,69.8,0.055
diverse,none,0,11755.xml,22.2978,53.09,0.42,Failed - Agent deviated from the route,Town12,11,113.7,209,69.8,0.048
diverse,none,0,14194.xml,100.0,100,1.0,Completed,Town12,20,210.0,478,75.9,0.426
diverse,none,0,23901.xml,100.0,100.0,1.0,Completed,Town13,21,230.7,431,175.7,0.023
diverse,none,0,24071.xml,100.0,100,1.0,Completed,Town13,21,113.5,208,154.3,0.048
diverse,none,0,24092.xml,100.0,100,1.0,Completed,Town13,20,134.3,329,149.8,0.03
diverse,none,0,24224.xml,100.0,100,1.0,Completed,Town02,20,129.5,397,132.6,0.157
diverse,none,0,24258.xml,60.0,100,0.6,Completed,Town07,20,247.0,972,130.9,0.335
diverse,none,0,24294.xml,50.0,100,0.5,Completed,Town02,20,204.5,920,102.6,0.682
diverse,none,0,24340.xml,100.0,100,1.0,Completed,Town10HD,19,124.6,328,100.8,0.034
diverse,none,0,24795.xml,100.0,100.0,1.0,Completed,Town04,21,143.6,519,169.5,0.037
diverse,none,0,24841.xml,100.0,100,1.0,Completed,Town01,20,139.5,456,130.4,0.026
diverse,none,0,25300.xml,100.0,100,1.0,Completed,Town04,19,165.3,620,155.1,0.204
diverse,none,0,25439.xml,60.0,100,0.6,Completed,Town15,19,137.9,539,130.0,0.195
diverse,none,0,25845.xml,31.59,48.6,0.65,Failed - TickRuntime,Town15,9,872.9,3999,53.4,0.951
diverse,none,0,25854.xml,21.6,100,0.216,Completed,Town03,23,186.2,647,132.5,0.059
diverse,none,0,25857.xml,100.0,100,1.0,Completed,Town05,18,542.4,2359,133.4,0.849
diverse,none,0,25928.xml,100.0,100,1.0,Completed,Town11,18,112.9,353,101.8,0.128
diverse,none,0,25951.xml,36.0,100,0.36,Completed,Town04,22,176.6,673,136.0,0.19
diverse,none,0,25968.xml,34.11,34.11,1.0,Failed - Agent deviated from the route,Town07,7,76.7,164,47.8,0.061
diverse,none,0,26405.xml,100.0,100,1.0,Completed,Town15,18,104.9,384,133.9,0.029
diverse,none,0,26406.xml,7.776,100,0.07776,Completed,Town04,25,158.4,590,145.0,0.251
diverse,none,0,26456.xml,100.0,100,1.0,Completed,Town03,20,350.7,1564,130.5,0.705
diverse,none,0,26956.xml,60.0,100,0.6,Completed,Town05,21,110.1,367,80.2,0.279
diverse,none,0,27515.xml,19.4166,46.23,0.42,Failed - Agent deviated from the route,Town03,11,282.7,1259,65.6,0.793
diverse,none,0,27532.xml,51.44,51.44,1.0,Failed - Agent deviated from the route,Town11,10,90.4,186,64.2,0.054
diverse,none,0,27582.xml,52.98,52.98,1.0,Failed - Agent deviated from the route,Town11,10,116.0,445,63.8,0.448
diverse,none,0,28035.xml,51.296,73.28,0.7,Failed - Agent deviated from the route,Town01,14,123.6,392,114.7,0.026
diverse,none,0,28154.xml,58.500761,100,0.585008,Completed,Town10HD,22,197.1,683,154.7,0.192
diverse,lidar,1.0,10857.xml,50.87,50.87,1.0,Failed - Agent got blocked,Town12,10,523.3,1380,45.8,0.877
diverse,lidar,1.0,11715.xml,22.803117,55.46,0.411163,Failed - Agent deviated from the route,Town12,13,128.5,209,77.4,0.048
diverse,lidar,1.0,11755.xml,21.6684,55.56,0.39,Failed - Agent deviated from the route,Town12,12,172.5,493,78.7,0.358
diverse,lidar,1.0,14194.xml,6.803928,48.72,0.139654,Failed - Agent got blocked,Town12,15,952.5,3297,48.8,0.943
diverse,lidar,1.0,23901.xml,100.0,100.0,1.0,Completed,Town13,21,206.1,439,175.5,0.023
diverse,lidar,1.0,24071.xml,100.0,100,1.0,Completed,Town13,21,117.9,232,154.1,0.043
diverse,lidar,1.0,24092.xml,100.0,100,1.0,Completed,Town13,20,122.8,299,149.5,0.034
diverse,lidar,1.0,24224.xml,50.0,100,0.5,Completed,Town02,21,110.4,312,132.6,0.032
diverse,lidar,1.0,24258.xml,36.0,100,0.36,Completed,Town07,21,127.9,412,131.1,0.024
diverse,lidar,1.0,24294.xml,50.0,100,0.5,Completed,Town02,20,80.1,238,102.7,0.042
diverse,lidar,1.0,24340.xml,100.0,100,1.0,Completed,Town10HD,19,143.7,428,100.9,0.173
diverse,lidar,1.0,24795.xml,23.517,36.18,0.65,Failed - TickRuntime,Town04,7,778.4,3999,53.3,0.95
diverse,lidar,1.0,24841.xml,100.0,100,1.0,Completed,Town01,20,138.8,466,130.6,0.022
diverse,lidar,1.0,25300.xml,32.508,90.3,0.36,Failed - TickRuntime,Town04,18,813.5,3999,141.0,0.894
diverse,lidar,1.0,25439.xml,100.0,100,1.0,Completed,Town15,18,122.6,448,128.5,0.219
diverse,lidar,1.0,25845.xml,2.5415,3.91,0.65,Failed - Agent got blocked,Town15,2,295.0,1289,6.1,0.971
diverse,lidar,1.0,25854.xml,98.48,98.48,1.0,Failed - TickRuntime,Town03,19,848.1,3999,129.4,0.851
diverse,lidar,1.0,25857.xml,33.83,33.83,1.0,Failed - TickRuntime,Town05,5,838.6,3999,45.1,0.963
diverse,lidar,1.0,25928.xml,60.0,100,0.6,Completed,Town11,19,107.2,297,100.7,0.034
diverse,lidar,1.0,25951.xml,21.6,100,0.216,Completed,Town04,23,191.1,761,135.9,0.392
diverse,lidar,1.0,25968.xml,12.618054,75.67,0.166751,Failed - Agent got blocked,Town07,17,383.0,1968,75.0,0.871
diverse,lidar,1.0,26405.xml,60.0,100,0.6,Completed,Town15,19,101.4,300,134.3,0.033
diverse,lidar,1.0,26406.xml,100.0,100,1.0,Completed,Town04,20,178.6,633,144.2,0.301
diverse,lidar,1.0,26456.xml,100.0,100,1.0,Completed,Town03,20,392.3,1570,130.5,0.679
diverse,lidar,1.0,26956.xml,32.682,54.47,0.6,Failed - Agent deviated from the route,Town05,11,113.9,339,68.4,0.275
